Vrest,dVdt,APA,APD20,APD40,APD50,APD90,TriAP,DCai,Capeak,CaD50,CaD90,TriCa,dCa,SA,sex
-75.976,151.2,112.11,6.1018,33.722,74.182,254.18,180,375.08,569.56,161.18,396.18,235,195.22,0,1
-75.254,152.97,116.19,8.5931,65.294,103.29,270.29,167,406.52,640.7,193.29,451.29,258,235.87,0,1
-75.057,167.31,117.08,7.7833,75.292,112.29,276.29,164,275.87,498.28,239.29,549.29,310,225.31,0,0
-77.166,123.96,112.41,10.565,101.92,129.92,255.92,126,132.17,380.22,345.92,691.92,346,252.19,0,1
-78.512,146.73,115.54,8.1991,92.14,123.14,248.14,125,201.82,415.9,253.14,568.14,315,216.47,0,0
-77.352,135.12,112.76,7.8059,73.615,107.61,246.61,139,109.27,335.49,333.61,671.61,338,229.04,0,0
-74.675,144.13,114.39,8.3807,69.236,102.24,268.24,166,360.38,585,214.24,508.24,294,227.43,0,0
-77.031,228.73,124.47,7.0405,57.985,97.985,250.9,152.91,194.5,432.23,260.9,554.9,294,239.57,0,1
-78.521,200.72,123.8,8.7331,95.896,125.9,251.9,126,196.71,412.41,263.9,580.9,317,218.26,0,0
-77.089,173.26,117.87,7.0703,69.972,109.97,246.97,137,271.04,473.17,204.97,480.97,276,203.62,0,0
-76.122,240.44,122.25,6.3651,56.925,97.925,248.92,151,77.492,296.45,348.92,685.92,337,221.16,0,1
-74.87,159.83,116.14,7.9312,75.408,114.41,280.41,166,103.09,310.5,338.41,672.41,334,210.04,0,0
-77.002,154.55,117.04,8.915,78.372,111.37,245.37,134,243.69,458.72,241.37,544.37,303,217.35,0,0
-75.197,155.67,115.51,7.7893,69.688,111.69,283.69,172,195.5,421.74,241.69,522.69,281,227.62,0,1
-76.432,160.47,115.64,6.898,84.5,115.5,257.5,142,137.5,364.85,303.5,640.5,337,230.21,0,0
-73.438,145.14,109.72,5.9891,46.661,82.661,258.81,176.15,165.74,403.58,269.81,589.81,320,240.04,0,1
-75.978,152.35,114.01,6.9136,73.579,103.58,245.58,142,44.325,245.6,375.58,713.58,338,202.89,0,1
-74.932,155.12,113.12,6.3958,58.649,96.649,260.65,164,90.005,329.31,264.65,545.65,281,240.07,0,1
-76.352,164.5,116.38,7.1907,63.782,97.782,250.78,153,143.5,370.46,320.78,664.78,344,230.45,0,0
-73.952,123.05,109.3,7.2651,37.903,75.903,252.9,177,40.291,251.49,351.9,673.9,322,212.05,0,1
-76.43,217.9,124.85,8.2366,83.133,127.13,285.13,158,159.29,372.15,260.13,547.13,287,214.23,0,0
-76.079,124.58,109.24,6.4408,62.5,102.5,261.5,159,256.77,468.87,230.5,545.5,315,214.76,0,0
-77.759,211.56,121.53,6.3842,74.636,114.64,250.64,136,219.92,422.84,246.64,562.64,316,205.46,0,0
-76.826,140.61,114.69,9.163,65.767,98.767,247.77,149,110.25,331.94,318.76,632.76,314,223.6,0,0
-75.258,191.04,118.43,6.6966,57.424,97.352,266.35,169,249.34,476.53,194.35,438.35,244,227.92,0,0
-76.127,177.29,115.59,6.1197,44.789,93.191,270.19,177,219.11,429.02,199.19,453.19,254,210.62,0,0
-76.73,128.42,111.74,7.8022,79.262,116.26,266.26,150,126.8,329.72,295.26,620.26,325,205.05,0,1
-73.407,123.64,107.5,6.2916,33.962,60.69,265.69,205,452.26,686.5,193.69,466.69,273,236.64,0,0
-75.369,122.17,108.36,6.4152,36.493,73.493,253.49,180,117.38,333.54,313.49,644.49,331,218.51,0,1
-75.059,132.22,111.26,7.1577,68.234,105.23,280.11,174.88,290.01,528.45,220.11,509.11,289,240.52,0,1
-75.418,169.64,114.23,6.1672,50.397,87.397,254.4,167,125.81,366.19,293.4,615.4,322,242.34,0,1
-75.763,126.87,112.26,9.22,79.813,116.81,278.81,162,185.45,422.44,260.81,546.81,286,238.54,0,0
-76.857,226.51,125.5,7.7926,66.973,103.89,247.89,144,287.69,523.38,223.89,500.89,277,237.51,0,0
-76.373,127.67,112.78,9.9794,91.421,124.42,275.42,151,114.48,330.14,313.42,634.42,321,217.78,0,0
-76.722,149.83,116.31,9.0227,72.345,103.35,249.35,146,129.4,375.92,318.35,631.35,313,248.62,0,0
