GNa,GNaL,Gto,GKr,GKs,GKur,GK1,GCaL,Pnak,Gncx,GpCa,Rel,SERCA,Leak
0.88884,1.0081,0.29745,1.0049,2.0108,0.44751,2.0851,0.58699,0.99592,1.4654,1.0006,1.0137,1.0207,1.2525
0.082845,0.12016,0.035244,0.11908,0.24181,0.044542,0.2118,0.048759,0.10748,0.16885,0.12045,0.11769,0.12278,0.1517
0.84908,1.0082,0.29777,1.0025,2.012,0.44746,2.0198,0.58826,0.97641,1.4714,0.99885,1.0127,1.0197,1.255
0.088111,0.12144,0.034721,0.11752,0.23991,0.045248,0.20907,0.050059,0.10417,0.16899,0.12051,0.12,0.12193,0.15412
