RMP,dV/dtmax,APA,APD20,APD40,APD50,APD90,APDtri,CTA,CTmax,CTD50,CTD90,CTDtri,CTD,Gender,class
-77.141,238.46,104.54,26.627,52.08,86.08,238.08,152,91.353,249.63,324.08,688.08,364,159.19,0,1
-78.46,240.02,104.51,27.729,48.435,80.435,224.5,144.06,99.54,247.12,312.5,678.5,366,148.65,0,1
-78.66,257.33,105.68,22.653,46.776,79.776,217.07,137.29,103.92,254.66,316.07,684.07,368,151.82,0,1
-77.817,237.33,105.39,26.376,48.007,80.007,226.01,146,108.66,266.03,336.01,713.01,377,158.5,0,1
-78.062,251.23,105.7,20.949,45.038,80.038,232.04,152,92.217,239.48,301.04,653.04,352,147.89,0,1
-78.358,248.35,104.63,24.158,44.429,78.429,222.43,144,118.6,266.29,318.43,694.43,376,149.12,0,1
-78.197,269.07,107.23,18.37,43.582,78.582,219.58,141,84.981,227.33,302.58,655.58,353,142.95,0,1
-78.183,254.54,106.44,26.501,46.795,80.678,227.05,146.37,138.29,292.92,271.05,619.05,348,155.57,0,1
-77.81,238.06,104.07,25.092,47.147,79.147,226.15,147,93.214,251.2,345.15,719.15,374,159.35,0,1
-78.801,250.87,105.35,26.075,47.94,79.94,218.17,138.23,105.78,262.97,330.17,705.17,375,158.35,0,1
-77.956,225.38,103.5,27.841,50.569,83.569,227.57,144,89.027,249.43,332.57,700.57,368,161.3,0,1
-78.255,231.29,104.66,24.537,46.639,80.639,225.54,144.9,101.34,255.06,296.54,648.54,352,154.4,0,1
-78.899,244.61,106.11,26.503,50.072,85.072,219.07,134,86.527,234.31,318.49,677.49,359,148.75,0,1
-78.104,223.14,102.89,28.466,49.319,80.319,223.77,143.45,89.7,247.07,351.77,730.77,379,158.61,0,1
-79.036,247.79,104.61,24.655,47.351,81.351,219.95,138.6,96.755,237.09,311.95,680.95,369,141.18,0,1
-78.787,253.62,107.03,26.553,48.527,81.527,217.53,136,112.84,263.67,281.53,627.53,346,151.61,0,1
-78.392,257.52,106.7,31.968,55.968,89.968,230.15,140.19,107.73,267.03,336.15,710.15,374,160.58,0,1
-79.005,258.98,106.12,19.391,43.703,78.703,213.83,135.13,90.323,234.63,333.83,704.83,371,145.42,0,1
-77.449,228.39,103.78,30.532,50.532,84.532,239.53,155,104.71,261.21,295.53,650.53,355,157.22,0,1
-77.453,222.77,102.38,23.908,46.417,78.417,233.42,155,93.736,245.37,344.42,717.42,373,152.9,0,1
-78.168,236.75,103.89,28.631,49.51,81.51,222.51,141,105.05,267.41,329.51,705.51,376,163.6,0,1
-78.976,254.71,107.8,29.912,51.912,85.912,217.91,132,91.136,232.19,310.91,671.91,361,141.92,0,1
-78.542,253.78,106.44,23.499,45.874,78.874,215.87,137,95.333,240.72,313.87,675.87,362,146.32,0,1
-78.34,266.1,105.68,19.573,46.392,81.392,221.17,139.78,88.424,239.8,329.17,695.17,366,152.42,0,1
-77.935,228.76,102.96,26.11,49.375,82.375,232.38,150,86.922,235.19,343.38,715.38,372,149.24,0,1
-77.558,237.27,102.94,22.963,44.19,78.19,237.19,159,129.86,287.47,285.19,644.19,359,158.69,0,1
-78.694,256.25,105.09,26.165,49.735,83.735,224.73,141,116.42,271.56,306.73,674.73,368,156.24,0,1
-77.671,273.71,107.07,18.708,44.628,78.628,221.63,143,104.61,271.27,331.63,706.63,375,167.9,0,1
-78.91,238.22,105.12,24.913,47.047,80.047,217.05,137,111.99,263.18,317.05,691.05,374,152.37,0,1
-77.798,269.11,106.33,19.021,45.293,80.293,228.52,148.22,101.61,254.81,328.52,700.52,372,154.25,0,1
-77.438,222.5,103.41,31.676,53.676,87.676,239.63,151.95,103.12,257.52,331.63,704.63,373,155.66,0,1
-78.146,256.84,105.69,22.815,48.932,83.932,222.93,139,101.46,246.17,321.93,693.93,372,145.89,0,1
-78.069,233.02,103.45,22.413,44.967,78.967,229.97,151,85.347,229.89,337.97,705.97,368,145.48,0,1
-78.18,227.6,104.62,29.3,51.3,86.3,228.39,142.09,90.343,233.96,307.39,663.39,356,144.4,0,1
-77.934,220.57,103.2,28.84,49.725,83.725,233.72,150,100.82,256.82,326.72,696.72,370,157.13,0,1
-78.318,247.3,105.2,29.36,51.297,84.297,230.23,145.93,82.981,233.28,335.23,705.23,370,151.3,0,1
