Vrest,dVdt,APA,APD20,APD40,APD50,APD90,TriAP,DCai,Capeak,CaD50,CaD90,TriCa,dCa,Gender,class
-77.202,189.74,119.99,7.1336,79.641,115.64,256.64,141,217.78,440.88,253.64,568.64,315,225.68,0,1
-75.74,147.88,113.4,6.8832,55.662,92.662,262.81,170.15,277.99,513.35,222.81,507.81,285,237.24,0,1
-77.274,179.69,120.02,8.0657,68.032,104.03,244.03,140,266.64,483.36,241.03,547.03,306,219.37,0,1
-75.935,147.26,114.37,7.6635,73.119,105.12,256.12,151,303.73,559.04,278.12,624.12,346,261.29,0,1
-77.3,198.75,119.9,6.6178,63.45,104.45,254.75,150.3,310.82,516.76,179.75,431.75,252,206.98,0,1
-76.584,140.32,113.07,7.1862,58.683,90.683,238.68,148,110.26,323.33,324.68,661.68,337,215.65,0,1
-75.793,129.1,109.6,6.3233,61.089,96.089,260.09,164,208.03,442.58,291.09,639.09,348,239.02,0,1
-75.598,178.59,119.4,8.3184,78.869,111.87,261.32,149.45,185.12,393.15,236.32,522.32,286,209.44,0,1
-75.76,216.97,120.2,6.3913,56.082,97.082,253.08,156,108.28,363.55,330.08,663.08,333,257.79,0,1
-75.643,134.76,109.19,5.8566,56.183,93.183,256.9,163.72,245.08,496.46,275.9,619.9,344,255.87,0,1
-75.944,144.29,112.31,6.6061,60.326,94.326,255.33,161,262.02,504.44,226.33,520.33,294,244.48,0,1
-76.408,149.28,111.99,6.0005,56.588,95.588,251.59,156,258.13,496.85,205.59,478.59,273,240.11,0,1
-76.692,179.42,118.36,7.0954,85.995,121.99,265.07,143.07,225.96,435.06,234.07,538.07,304,211.2,0,1
-76.637,144.1,114.72,8.1149,73.286,106.29,258.29,152,162.39,415.8,299.44,617.44,318,255.97,0,1
-77.248,201.68,119.02,6.0401,61.602,105.6,253.6,148,294.52,513.79,218.6,519.6,301,221.76,0,1
-77.207,138.46,113.67,7.8964,62.45,94.45,240.45,146,354.98,576.49,191.45,459.45,268,223.19,0,1
-74.768,185.47,119.44,7.5414,57.509,90.509,243.51,153,349.23,575.48,221.51,520.51,299,229.2,0,1
-75.704,178.4,117.51,6.9257,64.455,106.45,265.45,159,160.81,368.11,232.45,509.45,277,208.31,0,1
-78.074,182.38,117.1,6.1012,56.122,100.12,243.12,143,213.9,409.9,206.12,485.12,279,197.13,0,1
-78.042,159.1,118.54,9.9593,81.637,111.64,250.64,139,350.6,573.75,202.64,478.88,276.24,225.18,0,1
-76.047,145.36,115.13,9.1116,62.285,92.285,257.28,165,117.86,340.79,256.28,511.28,255,223.46,0,1
-77.434,155.1,115.86,7.3906,73.865,105.87,242.87,137,151.73,411.5,281.87,586.87,305,261.55,0,1
-77.866,210.79,119.88,5.9256,67.621,110.62,248.62,138,190.63,395.27,223.62,511.62,288,205.96,0,1
-76.735,142.97,113.06,7.1769,68.393,99.393,243.39,144,101.06,317.88,284.39,598.39,314,218.24,0,1
-76.756,195.61,118.28,6.311,69.021,109.02,254.02,145,134.47,339.17,320.02,667.02,347,208.14,0,1
-75.922,191.43,119.26,6.9204,67.246,104.25,256.25,152,222.53,485.33,304.25,645.25,341,267.58,0,1
